userid;numCheckins;numOfAssignedVenues;proximityPrestige;partition;threshold;prestige;betweennessCentrality;closenessCentrality;degreeCentrality;influenceScore;
2087909.0;3.0;1.0;0.0;0.8333333333333334;1.0;0.0;0.0;0.42857142857142855;0.0625;0.20097402597402597;
47057.0;10.0;1.0;0.0;0.9444444444444444;1.0;0.0;0.0;0.5384615384615384;0.125;0.25645604395604393;
2111302.0;2.0;1.0;0.0;0.9444444444444444;1.0;0.0;0.0;0.5;0.0625;0.22857142857142856;
1819391.0;4.0;1.0;0.0;0.8333333333333334;1.0;0.0;0.0;0.5294117647058824;0.125;0.25381016042780746;
1584171.0;10.0;1.0;0.7945165094339623;0.7222222222222222;0.5;0.09090909090909091;0.0;0.5;0.125;1.198250843800144;
233878.0;18.0;1.0;0.8397881054131054;0.7222222222222222;0.25;0.2727272727272727;0.0;0.5;0.25;1.3334489435295886;
210820.0;12.0;1.0;0.4935897435897436;0.7777777777777778;0.25;0.2727272727272727;0.004034427111350189;0.42105263157894735;0.25;0.8801528304691261;
162962.0;6.0;1.0;0.2764533547794118;0.7222222222222222;0.0;0.09090909090909091;0.0;0.0;0.0625;0.39622589000776265;
166828.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.42424242424242425;0.125;0.2103219696969697;
75654.0;20.0;1.0;0.5347222222222222;0.7777777777777778;0.4;0.5454545454545454;0.3679397525551372;0.6666666666666666;0.625;1.3189257657406697;
64501.0;4.0;1.0;0.2703651685393258;0.9444444444444444;0.5555555555555556;0.36363636363636365;0.12022592791823561;0.5909090909090909;0.5625;0.789213653983996;
230268.0;2.0;1.0;0.24305555555555555;0.9444444444444444;0.7142857142857143;0.18181818181818182;0.03738569123184508;0.5909090909090909;0.4375;0.6543211596096212;
443157.0;7.0;1.0;0.8588297112944163;0.0;0.0;0.09090909090909091;0.0;0.0;0.0625;1.838113968043378;
132270.0;14.0;1.0;0.25598404255319146;0.9444444444444444;0.625;0.2727272727272727;0.037654653039268425;0.5909090909090909;0.5;0.7046334598298591;
270117.0;3.0;1.0;0.0;0.9444444444444444;1.0;0.0;0.0;0.5;0.0625;0.22857142857142856;
65961.0;18.0;1.0;0.25598404255319146;0.9444444444444444;0.6666666666666666;0.2727272727272727;0.1594943518020441;0.6190476190476191;0.5625;0.7766302450958751;
172190.0;10.0;1.0;0.9632863562091504;0.7222222222222222;0.3125;1.0;1.0;0.8571428571428571;1.0;2.3794846164272156;
1831883.0;3.0;1.0;0.8369565217391305;0.3333333333333333;0.5;0.09090909090909091;0.0;1.0;0.125;1.745775691699605;
412532.0;3.0;1.0;0.8588297112944163;0.05555555555555555;0.0;0.09090909090909091;0.0;0.0;0.0625;1.7420290223568844;
177970.0;4.0;1.0;1.0;0.3333333333333333;0.2;0.36363636363636365;0.2420656266810113;1.0;0.3125;2.234752387036041;
