"count(user_id)";"latitude";"longitude";"label";"venue_id"
3.0;44.882;-93.2123;"Airport Lounge";1.0
1.0;44.8834;-93.2143;"Airport Terminal";3.0
9.0;44.9802;-93.2741;"Pizza Place";51.0
11557.0;36.0850548192444;-115.149936676025;"restaurant";60.0
6158.0;44.8835461468047;-93.2114839553833;"airport";64.0
11.0;33.9407;-118.4044;"Airport Lounge";65.0
1.0;44.9715;-93.4967;"Pizza Place";177.0
18.0;44.9485;-93.3201;"Burger Joint";205.0
39.0;44.9794;-93.2762;"Basketball Stadium";208.0
3.0;47.6762;-122.2077;"Restaurant";226.0
57.0;44.9500386;-93.2880631;"Mexican restaurant";227.0
1.0;44.9555;-93.2776;"Vietnamese Restaurant";234.0
46.0;44.9673;-93.3488;"Pub";236.0
75.0;44.9486;-93.2882;"Sake Bar";259.0
1.0;44.9483;-93.2885;"Tattoo Parlor";260.0
441.0;41.2996211144475;-95.8993792533875;"restaurant";318.0
3.0;42.2724;-71.0273;"Mexican Restaurant";336.0
117.0;36.1183942566872;-115.175557136536;"restaurant";388.0
305.0;36.1042488286458;-115.173840522766;"restaurant";389.0
1132.0;36.1132633664692;-115.176179409027;"restaurant";390.0
1.0;51.5137;-0.159;"Hotel";402.0
545.0;40.7219188016436;-73.9574959874153;"restaurant";407.0
16.0;40.762;-73.985925;"restaurant";415.0
49.0;40.7168;-74.0079;"Road";416.0
118.0;40.7395347950038;-74.0061378479004;"restaurant";420.0
67.0;40.744594;-73.998305;"gay bar";428.0
112.0;40.7219574249367;-73.9924907684326;"gallery";437.0
78.0;34.004379;-118.485726;"office";442.0
11.0;34.068;-118.4033;"Chinese Restaurant";456.0
10.0;33.9908;-118.4662;"American Restaurant";458.0
62.0;34.050419;-118.256321;"golf club";467.0
70.0;33.9904277;-118.4650114;"American restaurant";474.0
22.0;34.1015;-118.3345;"Other Great Outdoors";475.0
53.0;34.0514682748897;-118.245232701302;"shop";477.0
31.0;34.0195;-118.4548;"Burger Joint";478.0
95.0;34.0699984;-118.376415;"road";480.0
11.0;34.0866;-118.3817;"General Travel";483.0
11.0;34.0851;-118.3768;"Steakhouse";492.0
30.0;34.0153170222861;-118.49205493927;"restaurant";495.0
81.0;34.0440410101848;-118.265322446823;"sport bar";496.0
161.0;33.8092480859454;-117.925314903259;"American restaurant";497.0
59.0;25.7811118574557;-80.1877927780151;"arena";510.0
2.0;38.8043;-77.0411;"Italian Restaurant";520.0
1.0;42.3667;-71.1066;"Church";536.0
112.0;41.8897989;-87.630093;"japanese bistro";551.0
41.0;36.1082708271876;-115.177316665649;"restaurant";560.0
1286.0;36.1162102025072;-115.174312591553;"restaurant";562.0
1.0;41.89;-87.6279;"American Restaurant";585.0
23.0;41.8855;-87.6278;"Cocktail Bar";586.0
38.0;41.8909303;-87.6242692;"mall";598.0
1.0;41.891;-87.6328;"Rock Club";609.0
1.0;41.8933;-87.6254;"Sushi Restaurant";610.0
11.0;41.8892;-87.6315;"Mexican Restaurant";618.0
4.0;41.8909;-87.6479;"Italian Restaurant";631.0
13.0;41.8925;-87.628;"Wine Bar";632.0
1.0;41.8849;-87.6366;"American Restaurant";633.0
2.0;41.8867;-87.6263;"American Restaurant";645.0
53.0;41.898719;-87.623971;"shop";647.0
79.0;41.881292;-87.62501;"mall";653.0
2.0;41.8931;-87.6202;"Breakfast Spot";658.0
2.0;41.8947;-87.635;"New American Restaurant";663.0
2.0;41.8947;-87.635;"Art Gallery";663.0
8.0;41.9014;-87.628;"Bar";665.0
79.0;41.8902;-87.6311;"road";673.0
295.0;36.0985275276742;-115.175042152405;"restaurant";675.0
184.0;41.898109;-87.623756;"restaurant";679.0
