"user_id";"count(id)"
1.0;6.0
2.0;2.0
4.0;4.0
5.0;3.0
20.0;6.0
28.0;2.0
37.0;6.0
42.0;6.0
55.0;5.0
57.0;3.0
62.0;3.0
64.0;27.0
65.0;6.0
69.0;2.0
73.0;4.0
79.0;2.0
80.0;2.0
87.0;2.0
91.0;2.0
92.0;5.0
96.0;2.0
101.0;2.0
108.0;6.0
111.0;4.0
114.0;2.0
120.0;2.0
121.0;2.0
124.0;5.0
127.0;2.0
134.0;6.0
139.0;5.0
146.0;4.0
148.0;2.0
149.0;24.0
153.0;33.0
158.0;16.0
166.0;5.0
168.0;10.0
169.0;10.0
171.0;6.0
172.0;4.0
178.0;2.0
179.0;13.0
191.0;5.0
192.0;3.0
196.0;2.0
201.0;2.0
205.0;5.0
212.0;4.0
220.0;2.0
228.0;3.0
233.0;3.0
236.0;9.0
237.0;2.0
245.0;4.0
251.0;4.0
255.0;2.0
258.0;3.0
287.0;7.0
293.0;3.0
296.0;2.0
302.0;3.0
304.0;9.0
325.0;2.0
328.0;3.0
376.0;6.0
383.0;8.0
385.0;2.0
396.0;4.0
398.0;6.0
413.0;8.0
423.0;10.0
425.0;4.0
434.0;4.0
445.0;3.0
458.0;2.0
474.0;5.0
484.0;8.0
485.0;12.0
486.0;2.0
490.0;2.0
496.0;4.0
510.0;4.0
518.0;3.0
525.0;3.0
526.0;2.0
535.0;3.0
539.0;3.0
541.0;12.0
542.0;4.0
543.0;3.0
545.0;2.0
546.0;2.0
547.0;2.0
551.0;6.0
559.0;3.0
567.0;3.0
571.0;4.0
573.0;2.0
579.0;5.0
585.0;4.0
587.0;3.0
596.0;2.0
604.0;2.0
608.0;6.0
609.0;3.0
610.0;5.0
613.0;2.0
617.0;3.0
620.0;14.0
623.0;4.0
632.0;2.0
637.0;4.0
647.0;4.0
652.0;2.0
666.0;5.0
669.0;3.0
671.0;2.0
672.0;3.0
674.0;5.0
675.0;6.0
680.0;3.0
682.0;2.0
683.0;2.0
685.0;2.0
689.0;2.0
691.0;3.0
696.0;2.0
701.0;3.0
703.0;2.0
714.0;2.0
721.0;8.0
734.0;3.0
740.0;2.0
747.0;4.0
749.0;6.0
750.0;4.0
774.0;2.0
776.0;3.0
783.0;2.0
787.0;2.0
789.0;2.0
790.0;3.0
792.0;4.0
794.0;6.0
796.0;15.0
806.0;2.0
808.0;3.0
811.0;4.0
821.0;8.0
824.0;3.0
828.0;5.0
834.0;4.0
836.0;2.0
847.0;2.0
852.0;2.0
865.0;2.0
866.0;2.0
869.0;5.0
874.0;5.0
881.0;2.0
882.0;4.0
886.0;3.0
888.0;4.0
891.0;2.0
894.0;7.0
905.0;2.0
909.0;2.0
913.0;2.0
917.0;2.0
924.0;2.0
928.0;3.0
931.0;9.0
932.0;5.0
936.0;3.0
940.0;4.0
947.0;2.0
957.0;3.0
961.0;4.0
982.0;2.0
984.0;3.0
989.0;2.0
996.0;7.0
1007.0;2.0
1013.0;4.0
1014.0;3.0
1021.0;2.0
1022.0;2.0
1028.0;2.0
1037.0;6.0
1038.0;3.0
1042.0;3.0
1051.0;3.0
1053.0;2.0
1063.0;3.0
1067.0;2.0
1082.0;6.0
1086.0;3.0
1096.0;2.0
1102.0;4.0
1109.0;5.0
1110.0;2.0
1141.0;2.0
1143.0;5.0
1154.0;5.0
1155.0;2.0
1162.0;2.0
1169.0;4.0
1171.0;2.0
1173.0;4.0
1180.0;2.0
1181.0;3.0
1183.0;4.0
1184.0;4.0
1185.0;2.0
1188.0;5.0
1189.0;2.0
1191.0;4.0
1193.0;2.0
1201.0;3.0
1206.0;3.0
1212.0;3.0
1216.0;4.0
1227.0;2.0
1230.0;3.0
1232.0;3.0
1233.0;2.0
1238.0;3.0
1241.0;8.0
1243.0;2.0
1244.0;6.0
1248.0;3.0
1250.0;2.0
1252.0;7.0
1253.0;2.0
1267.0;2.0
1272.0;2.0
1279.0;3.0
1295.0;2.0
1296.0;8.0
1313.0;3.0
1314.0;6.0
1316.0;2.0
1318.0;2.0
1319.0;4.0
1328.0;14.0
1331.0;6.0
1339.0;4.0
1342.0;4.0
1347.0;2.0
1351.0;2.0
1354.0;2.0
1366.0;2.0
1369.0;3.0
1379.0;4.0
1383.0;4.0
1388.0;2.0
1390.0;4.0
1396.0;3.0
1408.0;2.0
1419.0;3.0
1420.0;5.0
1421.0;3.0
1425.0;7.0
1432.0;2.0
1438.0;3.0
1442.0;3.0
1447.0;2.0
1452.0;2.0
1469.0;4.0
1470.0;10.0
1475.0;2.0
1479.0;5.0
1482.0;2.0
1486.0;2.0
1493.0;2.0
1494.0;2.0
1499.0;6.0
1500.0;3.0
1504.0;3.0
1505.0;3.0
1514.0;4.0
1517.0;2.0
1519.0;2.0
1520.0;2.0
1522.0;2.0
1524.0;2.0
1530.0;4.0
1537.0;2.0
1539.0;2.0
1540.0;6.0
1545.0;2.0
1547.0;3.0
1563.0;5.0
1567.0;2.0
1570.0;2.0
1575.0;3.0
1582.0;2.0
1594.0;3.0
1599.0;2.0
1604.0;7.0
1621.0;3.0
1630.0;3.0
1642.0;2.0
1653.0;2.0
1658.0;4.0
1665.0;3.0
1668.0;3.0
1671.0;3.0
1683.0;7.0
1693.0;3.0
1700.0;2.0
1702.0;5.0
1704.0;2.0
1721.0;6.0
1727.0;3.0
1740.0;2.0
1745.0;3.0
1752.0;6.0
1758.0;4.0
1762.0;2.0
1763.0;4.0
1768.0;14.0
1770.0;8.0
1771.0;7.0
1779.0;2.0
1782.0;2.0
1787.0;6.0
1790.0;3.0
1794.0;3.0
1797.0;4.0
1798.0;5.0
1800.0;5.0
1816.0;2.0
1836.0;2.0
1837.0;2.0
1838.0;3.0
1841.0;3.0
1856.0;5.0
1875.0;5.0
1877.0;3.0
1879.0;2.0
1888.0;2.0
1893.0;2.0
1897.0;2.0
1898.0;9.0
1901.0;3.0
1902.0;3.0
1903.0;2.0
1911.0;5.0
1920.0;5.0
1924.0;3.0
1928.0;16.0
1934.0;3.0
1937.0;4.0
1944.0;2.0
1945.0;3.0
1955.0;3.0
1965.0;13.0
1966.0;2.0
1971.0;3.0
1972.0;2.0
1977.0;5.0
1989.0;4.0
1992.0;3.0
1997.0;2.0
1998.0;5.0
2005.0;3.0
2018.0;10.0
2028.0;6.0
2030.0;5.0
2070.0;2.0
2076.0;6.0
2097.0;10.0
2110.0;2.0
2111.0;3.0
2120.0;4.0
2137.0;2.0
2139.0;2.0
2141.0;3.0
2143.0;2.0
2151.0;6.0
2163.0;2.0
2164.0;3.0
2165.0;4.0
2179.0;5.0
2189.0;2.0
2192.0;2.0
2211.0;5.0
2222.0;2.0
2227.0;2.0
2229.0;2.0
2232.0;4.0
2241.0;3.0
2262.0;3.0
2266.0;6.0
2268.0;3.0
2274.0;4.0
2278.0;5.0
2281.0;2.0
2282.0;8.0
2284.0;4.0
2286.0;2.0
2291.0;4.0
2294.0;5.0
2299.0;4.0
2306.0;5.0
2314.0;2.0
2319.0;3.0
2330.0;6.0
2345.0;2.0
2348.0;2.0
2350.0;2.0
2352.0;2.0
2362.0;2.0
2368.0;2.0
2392.0;2.0
2399.0;4.0
2421.0;6.0
2425.0;2.0
2435.0;9.0
2437.0;2.0
2450.0;2.0
2458.0;2.0
2463.0;2.0
2465.0;2.0
2485.0;2.0
2495.0;3.0
2497.0;2.0
2510.0;2.0
2513.0;4.0
