first_user_id;second_user_id
1;20
1;28
1;37
2;42
4;55
4;57
5;62
5;64
5;65
5;69
5;73
5;79
5;80
5;87
5;91
5;92
5;96
5;101
5;108
5;111
5;114
5;120
5;121
5;124
20;1155
28;1642
37;4696
37;4700
37;1184
37;4708
42;1653
42;1671
42;33503
42;2591
42;33506
42;33513
42;101
42;3561
42;33523
42;5216
87;75866
87;49157
87;75886
87;75890
87;75899
87;75913
91;76116
91;64
91;76119
91;38960
91;92
91;76124
91;75858
91;76131
91;124
148;88378
148;88379
148;88380
148;88382
212;63089
212;88410
212;88414
212;783
212;88416
212;88417
212;88420
251;675
251;88588
92;37527
92;91538
92;91545
92;91549
55;1653
55;57
55;77070
55;20470
55;42366
55;29425
55;1897
96;129002
96;129003
96;11298
96;76580
96;129008
96;129009
96;129010
96;79847
96;129013
96;88270
96;20138
96;20963
96;129018
101;2120
101;5361
101;2137
101;2143
101;585
101;5383
101;1658
101;5391
101;587
101;5397
101;5402
101;5412
101;258
101;129342
101;109508
101;129370
101;129375
101;5490
101;129383
101;129394
101;63092
101;129400
101;129402
101;129422
101;72258
101;129468
101;36056
101;129475
101;129484
101;129498
101;72304
101;36071
101;129524
101;129530
101;63154
101;129558
101;129559
101;72359
101;129569
101;129590
101;63199
101;129625
101;129648
101;129663
101;63234
101;63239
101;63256
101;129728
101;129732
101;129737
101;44881
101;36266
101;6332
101;129824
101;72615
101;6408
101;129842
101;129847
101;63334
101;72647
101;129879
101;6481
101;45024
101;72723
101;6536
101;6543
101;6566
101;63387
101;129950
101;129969
101;129998
101;6772
101;130030
101;130034
101;63453
101;6836
101;45568
101;6865
101;36496
101;130074
101;130081
101;63497
101;1671
101;130106
101;130108
101;130118
101;130119
101;73250
101;130137
101;73264
101;130174
101;130179
101;130181
101;130189
101;130190
101;130195
101;7127
101;92684
101;2266
101;130213
101;130218
101;130221
101;73338
101;130242
101;130243
101;7208
101;130255
101;92711
101;130276
101;2274
101;63596
101;130290
101;130301
101;130310
101;63624
101;92779
101;63641
101;130346
101;130361
101;130376
101;63688
101;63691
101;63696
101;130424
101;110604
101;2306
101;7704
101;130447
101;63716
101;130467
101;130473
101;130494
101;130496
101;7950
101;7957
101;130517
101;8062
101;130559
101;63812
101;63815
101;130581
101;130583
101;8245
101;130623
101;2345
101;2350
101;130638
101;63867
101;130651
101;63887
101;130658
101;130673
101;63913
101;130693
101;63925
101;130711
101;130713
101;8573
101;130725
101;130742
101;8593
101;63955
101;130756
101;130774
101;130787
101;130789
101;130808
101;130809
101;63985
101;130821
101;63992
101;8765
101;130871
101;8853
101;130911
101;74296
101;130918
101;64068
101;8937
101;8958
101;8964
101;130978
101;130980
101;130982
101;130986
101;9055
101;131006
101;131010
101;131013
101;74371
101;9079
101;131026
101;9101
101;131036
101;131045
101;131051
101;64154
101;47086
101;9171
101;131099
101;64170
101;64172
101;9255
101;131132
101;74486
101;33683
101;131142
101;131150
101;131169
101;131172
101;131185
101;131195
101;37249
101;64219
101;131208
101;4799
101;131225
101;9433
101;131230
101;131231
101;9447
101;9455
101;37266
101;131255
101;33689
101;47189
101;131289
101;74655
101;74656
101;131301
101;131302
101;64267
101;131310
101;64274
101;64278
101;47273
101;131326
101;88521
101;37330
101;74769
101;64296
101;131355
101;287
101;37345
101;94221
101;131392
101;131397
101;9738
101;131409
101;131415
101;131419
101;131424
101;9814
101;131430
101;131438
101;131464
101;131484
101;64372
101;131496
101;131501
101;131521
101;9984
101;9997
101;131541
101;131546
101;64411
101;64412
101;94530
101;131595
101;64441
101;94584
101;131613
101;94631
101;131651
101;131663
101;75639
101;64490
101;64501
101;131684
101;4822
101;131720
101;64528
101;131733
101;47916
101;131754
101;10436
101;131772
101;75396
101;10519
101;10537
101;2566
101;64590
101;10591
101;48048
101;131837
101;131838
101;131849
101;10620
101;10627
101;64626
101;131898
101;2580
101;131925
101;64642
101;64643
101;64645
101;64651
101;10743
101;94926
101;131952
101;131966
101;10783
101;10784
101;64675
101;131994
101;132006
101;64689
101;132015
101;75606
101;132052
101;132054
101;10902
101;132072
101;76186
101;2599
101;4837
101;132109
101;48274
101;132129
101;132143
101;132146
101;132159
101;132160
101;64771
101;64775
101;132195
101;132198
101;11225
101;76370
101;132221
101;132232
101;132243
101;132247
101;64813
101;64826
101;132270
101;132284
101;132285
101;132292
101;95311
101;64849
101;88526
101;11382
101;2642
101;2110
101;11419
101;132346
101;132371
101;37821
101;64887
101;37824
101;11470
101;2648
101;132390
101;11494
101;4849
101;132417
101;11550
101;64934
101;76632
101;132467
101;64947
101;132481
101;11650
101;37901
101;132527
101;132531
101;76735
101;132535
101;1425
101;132542
101;132548
101;64993
101;64994
101;95598
101;132610
101;132617
101;37934
101;132630
101;11847
101;132643
101;132651
101;76863
101;325
101;132665
101;65045
101;132688
101;132697
101;11934
101;11957
101;65069
101;11980
101;12031
101;65103
101;132761
101;132764
101;132768
101;132771
101;132777
101;132799
101;49000
101;65137
101;77049
101;132822
101;132842
101;132845
101;12224
101;132858
101;65171
101;132870
101;132894
101;1173
101;95870
101;132918
101;34954
101;132950
101;132951
101;65246
101;132971
101;12424
101;132976
101;132979
101;132990
101;65265
101;133002
101;133005
101;133008
101;133013
101;133042
101;65303
101;65318
101;65326
101;12595
101;65342
101;133085
101;96003
101;65347
101;77313
101;133123
101;133138
101;133156
101;133161
101;12769
101;65417
101;65419
101;12880
101;77468
101;65424
101;133215
101;12900
101;133221
101;65433
101;77485
101;133239
101;133243
101;133259
101;2785
101;13063
101;133286
101;133320
101;133339
101;13301
101;2812
101;133355
101;13372
101;4897
101;38335
101;133420
101;133421
101;133429
101;112976
101;133437
101;133438
101;133442
101;65585
101;65595
101;133456
101;65600
101;133466
101;133478
101;88174
101;133515
101;133521
101;38400
101;133533
101;133539
101;133542
101;133545
101;133550
101;77831
101;13731
101;13762
101;133582
101;133584
101;65652
101;1992
101;133593
101;13802
101;77891
101;133616
101;65699
101;77998
101;133683
101;65701
101;65702
101;96789
101;96790
101;33856
101;133720
101;65727
101;78162
101;78176
101;133731
101;78195
101;65742
101;65747
101;124555
101;113344
101;65755
101;133779
101;14238
101;133787
101;133788
101;133791
101;133807
101;196
101;133809
101;133815
101;38613
101;133826
101;133830
101;133846
101;133852
101;133854
101;14384
101;78300
101;50178
101;133873
101;133887
101;65809
101;133891
101;133893
101;65836
101;133930
101;78488
101;14642
101;134002
101;14821
101;134060
101;134076
101;15047
101;124725
101;1227
101;134143
101;15166
101;134160
101;134164
101;134167
101;2946
101;134174
101;65988
101;15206
101;15209
101;134192
101;747
101;134199
101;134202
101;134207
101;66032
101;134246
101;66046
101;134255
101;66075
101;38958
101;2975
101;134297
101;134299
101;134320
101;66095
101;15489
101;134328
101;15507
101;134354
101;15541
101;66120
101;15564
101;134367
101;66128
101;15611
101;97801
101;1230
101;134425
101;50997
101;3002
101;78973
101;134498
101;134502
101;35108
101;134513
101;134531
101;134534
101;134536
101;134550
101;3025
101;66299
101;134622
101;134647
101;16147
101;134671
101;134677
101;134688
101;16219
101;79212
101;134696
101;4945
101;134722
101;79338
101;98225
101;134739
101;134746
101;134750
101;134754
101;66436
101;16483
101;134769
101;66473
101;134804
101;134824
101;134831
101;16592
101;134848
101;134883
101;66538
101;79550
101;16898
101;66576
101;17008
101;17017
101;66584
101;134968
101;79661
101;51818
101;17071
101;134993
101;39475
101;135011
101;135016
101;98643
101;135028
101;33969
101;3140
101;135064
101;66638
101;135075
101;135086
101;135089
101;135115
101;135122
101;66669
101;135140
101;135163
101;135168
101;135172
101;66716
101;51978
101;39553
101;135224
101;135225
101;135245
101;66745
101;52045
101;129113
101;135265
101;135272
101;1479
101;135278
101;135282
101;135300
101;135302
101;135327
101;135334
101;135340
101;66786
101;135355
101;98931
101;135361
101;135373
101;135381
101;17724
101;17733
101;135414
101;135417
101;135419
101;135434
101;135439
101;135458
101;135463
101;135465
101;135479
101;135485
101;1486
101;17944
101;66870
101;135526
101;135528
101;135555
101;135560
101;135561
101;135566
101;135580
101;66912
101;135584
101;135587
101;135589
101;66918
101;135594
101;135597
101;18074
101;135613
101;135614
101;18104
101;99166
101;66944
101;18142
101;66950
101;135633
101;75661
101;135648
101;135650
101;18174
101;135654
101;135666
101;66966
101;135672
101;18211
101;18213
101;18221
101;3222
101;135698
101;80525
101;18293
101;35208
101;135711
101;135719
101;80617
101;125362
101;135726
101;99473
101;67031
101;18446
101;385
101;80741
101;135829
101;52726
101;135847
101;135853
101;135856
101;3250
101;135871
101;18737
101;67107
101;135898
101;35241
101;67113
101;135905
101;67116
101;1241
101;135917
101;129124
101;18814
101;135932
101;135945
101;67151
101;135950
101;135951
101;18857
101;18872
101;18911
101;67193
101;5008
101;18959
101;136003
101;136007
101;136014
101;811
101;19019
101;19023
101;81154
101;136038
101;19032
101;40035
101;1499
101;136050
101;136063
101;67232
101;67239
101;136071
101;19130
101;136089
101;19138
101;136110
101;136111
101;136115
101;67271
101;136122
101;67272
101;136130
101;81228
101;136137
101;136147
101;136149
101;136152
101;136164
101;136170
101;67318
101;40090
101;1798
101;19286
101;136202
101;19299
101;19318
101;136221
101;53228
101;3310
101;67352
101;136246
101;136249
101;136256
101;88555
101;136265
101;100140
101;67388
101;100155
101;67394
101;67397
101;396
101;136305
101;136309
101;67411
101;136323
101;100186
101;19533
101;136338
101;136355
101;136370
101;19599
101;136377
101;19625
101;19628
101;136391
101;136393
101;136403
101;136407
101;67474
101;19689
101;53310
101;3341
101;398
101;136436
101;136437
101;67503
101;136458
101;136482
101;3352
101;136495
101;136498
101;136502
101;136515
101;136518
101;136519
101;3359
101;67551
101;136538
101;136546
101;136556
101;67562
101;136559
101;136565
101;136569
101;67571
101;136601
101;67586
101;136621
101;67597
101;136651
101;20074
101;136681
101;67616
101;136694
101;136709
101;20164
101;81750
101;67641
101;136761
101;3390
101;136794
101;136796
101;136798
101;20345
101;136816
101;136822
101;87932
101;136834
101;136846
101;67702
101;136859
101;81972
101;136863
101;136865
101;1520
101;136866
101;40318
101;136878
101;136901
101;40345
101;136913
101;136920
101;136947
101;136960
101;34097
101;136980
101;82350
101;20715
101;82366
101;40515
101;67807
101;67811
101;67814
101;20790
101;137044
101;101169
101;137045
101;137051
101;137060
101;137077
101;137095
101;137102
101;20926
101;137110
101;137120
101;137121
101;137159
101;137178
101;137179
101;137186
101;54386
101;40628
101;137201
101;137204
101;21107
101;423
101;21181
101;82689
101;137278
101;67986
101;67990
101;54653
101;21405
101;40743
101;101707
101;54791
101;101750
101;137384
101;137404
101;68069
101;35384
101;137438
101;137439
101;137459
101;68080
101;137471
101;68087
101;5072
101;137477
101;21627
101;21647
101;21686
101;137512
101;137516
101;137522
101;21755
101;137542
101;137543
101;83337
101;137569
101;21860
101;137574
101;137581
101;137590
101;137612
101;3561
101;137616
101;68236
101;137642
101;137643
101;3570
101;137664
101;22098
101;137674
101;83585
101;68273
101;137686
101;137687
101;137699
101;137718
101;22222
101;137731
101;137768
101;83839
101;68354
101;137774
101;3616
101;137806
101;68386
101;137817
101;22394
101;55869
101;137852
101;137867
101;22482
101;68445
101;137913
101;137930
101;137934
101;137941
101;137948
101;137964
101;84084
101;137973
101;84143
101;138027
101;68531
101;22829
101;68535
101;56301
101;138061
101;3676
101;84243
101;138067
101;138080
101;35471
101;138100
101;3685
101;138113
101;138121
101;68622
101;68623
101;3687
101;138139
101;68645
101;138179
101;138198
101;138245
101;117528
